,player_id,player_name,team,age,country,avg_rating,height_cm,position,weight_kg
208,44687,Martin Kelly,Crystal Palace,28,gb,6.43,191,D(CLR),77
209,260451,Sullay Kaikai,Crystal Palace,22,gb,6.42,182,AM(L),73
210,34974,Bakary Sako,Crystal Palace,30,ml,6.41,183,"M(L),FW",85
211,141246,Jairo Riedewald,Crystal Palace,21,nl,6.32,182,"D(CL),DMC",79
212,8466,Damien Delaney,Crystal Palace,36,ie,6.26,191,D(C),89
213,345336,Levi Lumeka,Crystal Palace,19,gb,6.25,0,Forward,0
214,9156,Jason Puncheon,Crystal Palace,32,gb,6.07,173,M(CLR),70
215,79970,Pape Souaré,Crystal Palace,28,sn,6.05,178,"D(L),M(L)",69
216,42915,Lee Chung-yong,Crystal Palace,30,kr,5.98,180,M(CLR),69
217,141931,Freddie Ladapo,Crystal Palace,25,ng,5.89,183,Forward,80
218,9298,Simon Francis,Bournemouth,33,gb,6.96,183,D(CR),90
219,68662,Steve Cook,Bournemouth,27,gb,6.89,185,D(C),82
220,122945,Nathan Aké,Bournemouth,23,nl,6.88,180,"D(CL),DMC",75
221,81026,Joshua King,Bournemouth,26,no,6.88,180,"AM(CLR),FW",74
222,69912,Junior Stanislas,Bournemouth,28,gb,6.87,183,AM(CLR),76
223,136456,Lewis Cook,Bournemouth,21,gb,6.73,175,M(CL),71
224,69877,Adam Smith,Bournemouth,27,gb,6.73,180,"D(LR),M(R)",78
225,13447,Andrew Surman,Bournemouth,31,za,6.73,178,M(CL),73
226,93160,Ryan Fraser,Bournemouth,24,gb,6.71,163,M(CLR),70
227,105797,Jordon Ibe,Bournemouth,22,gb,6.65,176,AM(CLR),81
228,24827,Charlie Daniels,Bournemouth,31,gb,6.64,178,"D(L),M(L)",75
229,13846,Dan Gosling,Bournemouth,28,gb,6.58,183,M(C),79
230,134115,Callum Wilson,Bournemouth,26,gb,6.53,180,FW,66
231,23122,Asmir Begovic,Bournemouth,31,ba,6.52,199,GK,101
232,67807,Harry Arter,Bournemouth,28,ie,6.47,176,M(C),70
233,2837,Jermain Defoe,Bournemouth,35,gb,6.38,171,"AM(R),FW",65
234,14000,Marc Pugh,Bournemouth,31,gb,6.31,180,AM(L),72
235,296332,Lys Mousset,Bournemouth,22,fr,6.29,184,Forward,80
236,123167,Tyrone Mings,Bournemouth,25,gb,6.2,191,D(CL),77
237,93647,Benik Afobe,Bournemouth,25,cd,6.19,183,"AM(C),FW",78
238,231119,Emerson Hyndman,Bournemouth,22,us,6.01,170,M(CL),61
239,302862,Jack Simpson,Bournemouth,21,gb,5.9,178,Defender,83
240,34693,Marko Arnautovic,West Ham,29,at,7.07,192,"AM(CLR),FW",83
241,89998,Manuel Lanzini,West Ham,25,ar,7.04,167,AM(CLR),59
242,122980,Arthur Masuaku,West Ham,24,fr,7.02,179,"D(L),M(L)",70
243,8148,James Collins,West Ham,34,gb,6.92,188,D(C),83
244,19859,José Fonte,West Ham,34,pt,6.89,187,D(C),81
245,69517,Michail Antonio,West Ham,28,gb,6.88,180,"D(R),M(CLR),FW",82
246,70676,Pedro Obiang,West Ham,26,es,6.85,185,DMC,75
247,8247,Mark Noble,West Ham,31,gb,6.81,180,M(C),70
248,66741,Cheikhou Kouyaté,West Ham,28,sn,6.8,189,"D(CR),DMC",83
249,73399,Adrián,West Ham,31,es,6.78,190,GK,80
250,23547,Angelo Ogbonna,West Ham,30,it,6.76,191,D(C),86
251,14244,Pablo Zabaleta,West Ham,33,ar,6.75,176,"D(R),DMC,M(R)",74
252,125476,João Mário,West Ham,25,pt,6.74,179,M(CLR),73
253,118303,Sam Byram,West Ham,24,gb,6.7,180,"D(R),M(R)",72
254,68049,Aaron Cresswell,West Ham,28,gb,6.69,170,"D(CL),M(L)",66
255,23383,Andy Carroll,West Ham,29,gb,6.68,193,FW,79
256,19277,Winston Reid,West Ham,30,nz,6.62,190,D(C),87
257,35003,Chicharito,West Ham,30,mx,6.58,175,FW,73
258,332325,Declan Rice,West Ham,19,gb,6.49,185,D(C),76
259,30060,André Ayew,West Ham,28,gh,6.42,176,"M(CLR),FW",72
260,130964,Edimilson Fernandes,West Ham,22,ch,6.39,190,M(CR),70
261,6410,Patrice Evra,West Ham,37,fr,6.29,174,"D(CL),M(L)",75
262,8786,Joe Hart,West Ham,31,gb,6.27,196,GK,91
263,260779,Reece Oxford,West Ham,19,gb,6.18,191,Defender,78
264,273292,Josh Cullen,West Ham,22,ie,6.15,175,M(C),70
265,83297,Diafra Sakho,West Ham,28,sn,6.14,184,FW,79
266,139334,Jordan Hugill,West Ham,26,gb,6.11,183,FW,64
267,116317,Abdoulaye Doucouré,Watford,25,ml,7.0,184,M(C),75
268,68393,Christian Kabasele,Watford,27,be,6.93,188,D(C),86
269,14805,Younes Kaboul,Watford,32,fr,6.9,193,D(C),87
270,92729,Nathaniel Chalobah,Watford,23,gb,6.86,187,DMC,80
271,317804,Richarlison,Watford,21,br,6.84,179,"AM(CLR),FW",71
272,78152,Marvin Zeegelaar,Watford,27,nl,6.81,186,"D(L),M(L)",84
273,98317,Gerard Deulofeu,Watford,24,es,6.8,177,AM(LR),73
274,32323,Daryl Janmaat,Watford,28,nl,6.76,185,"D(R),M(R)",80
275,21499,José Holebas,Watford,34,gr,6.76,184,"D(L),M(L)",77
276,75919,Kiko Femenía,Watford,27,es,6.76,176,"D(R),M(R)",61
277,33590,Etienne Capoue,Watford,30,fr,6.74,189,"D(C),M(CL)",80
278,108638,Will Hughes,Watford,23,gb,6.74,185,M(C),74
279,69956,Tom Cleverley,Watford,28,gb,6.66,175,M(CLR),67
280,13805,Adrian Mariappa,Watford,31,jm,6.65,180,D(CR),78
281,105339,Molla Wagué,Watford,27,ml,6.64,191,D(C),87
282,10133,Heurelho Gomes,Watford,37,br,6.64,191,GK,91
283,97635,André Carrillo,Watford,27,pe,6.62,180,AM(LR),75
284,25832,Troy Deeney,Watford,30,gb,6.61,183,FW,90
285,25241,Craig Cathcart,Watford,29,gb,6.61,188,D(CR),73
286,27349,Sebastian Prödl,Watford,31,at,6.54,194,D(C),92
287,90000,Roberto Pereyra,Watford,27,ar,6.51,182,M(CLR),77
288,36096,Miguel Britos,Watford,33,uy,6.5,188,D(CL),82
289,22932,Nordin Amrabat,Watford,31,ma,6.49,179,"M(CLR),FW",73
290,14255,Stefano Okaka,Watford,28,it,6.37,186,FW,82
291,11624,Orestis Karnezis,Watford,33,gr,6.34,189,GK,79
292,10254,Ben Watson,Watford,33,gb,6.29,178,M(C),68
293,131487,Andre Gray,Watford,27,gb,6.24,178,FW,83
294,299490,Dodi Lukebakio,Watford,20,be,6.19,187,Midfielder,77
295,274630,Jerome Sinclair,Watford,21,gb,6.11,173,FW,79
296,75692,Shane Duffy,Brighton,26,ie,7.18,193,D(C),76
297,86441,Lewis Dunk,Brighton,26,gb,7.02,192,D(C),88
298,71824,Pascal Groß,Brighton,27,de,6.81,181,M(C),78
299,24238,Dale Stephens,Brighton,29,gb,6.79,169,M(C),71
300,86794,Anthony Knockaert,Brighton,26,fr,6.79,172,AM(LR),69
301,77429,Davy Pröpper,Brighton,26,nl,6.75,185,M(C),79
302,81523,Mat Ryan,Brighton,26,au,6.74,184,GK,82
303,23957,Bruno,Brighton,37,es,6.7,181,"D(R),M(R)",76
304,243548,José Izquierdo,Brighton,26,co,6.62,171,AM(L),73
305,122926,Solly March,Brighton,23,gb,6.6,180,AM(CLR),88
306,28981,Tomer Hemed,Brighton,31,il,6.6,186,FW,80
307,32720,Gaëtan Bong,Brighton,30,cm,6.59,187,D(L),74
308,21427,Glenn Murray,Brighton,34,gb,6.59,183,FW,80
309,33477,Markus Suttner,Brighton,31,at,6.46,179,"D(L),M(L)",73
310,134258,Connor Goldson,Brighton,25,gb,6.4,191,D(C),85
311,79442,Ezequiel Schelotto,Brighton,29,it,6.39,187,"D(R),M(LR)",77
312,11869,Liam Rosenior,Brighton,34,gb,6.38,178,"D(LR),M(LR)",72
313,14179,Uwe Hünemeier,Brighton,32,de,6.37,189,D(C),85
314,19847,Leonardo Ulloa,Brighton,31,ar,6.27,188,FW,89
315,33318,Beram Kayal,Brighton,30,il,6.26,178,DMC,74
316,127119,Isaiah Brown,Brighton,21,gb,6.17,182,"AM(CL),FW",70
317,107622,Jürgen Locadia,Brighton,24,nl,6.14,185,"AM(LR),FW",87
318,25829,Jamie Murphy,Brighton,28,gb,6.08,178,AM(L),72
319,19494,Sam Baldock,Brighton,29,gb,5.89,170,"AM(L),FW",67
320,132360,Christopher Schindler,Huddersfield,28,de,7.11,189,D(C),82
321,109117,Terence Kongolo,Huddersfield,24,nl,7.02,188,D(CL),70
322,318153,Aaron Mooy,Huddersfield,27,au,6.86,174,M(C),68
323,135259,Steve Mounie,Huddersfield,23,bj,6.78,190,FW,83
324,82593,Jonathan Hogg,Huddersfield,29,gb,6.76,170,DMC,67
325,29026,Zanka,Huddersfield,28,dk,6.71,191,D(C),79
326,107848,Alex Pritchard,Huddersfield,25,gb,6.7,171,AM(CLR),62
327,106880,Laurent Depoitre,Huddersfield,29,be,6.58,191,FW,91
328,131171,Jonas Lössl,Huddersfield,29,dk,6.57,195,GK,89
329,42947,Rajiv van La Parra,Huddersfield,27,nl,6.54,181,"AM(LR),FW",72
330,101664,Chris Löwe,Huddersfield,29,de,6.51,175,D(L),68
331,135837,Tommy Smith,Huddersfield,26,gb,6.51,186,D(CR),75
332,136896,Florent Hadergjonaj,Huddersfield,23,ch,6.5,182,"D(R),M(R)",73
333,145277,Philip Billing,Huddersfield,22,dk,6.48,193,DMC,83
334,92804,Elias Kachunga,Huddersfield,26,cd,6.46,178,"AM(LR),FW",74
335,90918,Tom Ince,Huddersfield,26,gb,6.45,178,AM(CLR),66
336,90996,Collin Quaner,Huddersfield,27,de,6.39,191,"AM(R),FW",81
337,74077,Scott Malone,Huddersfield,27,gb,6.38,189,D(L),75
338,83335,Danny Williams,Huddersfield,29,us,6.35,182,M(C),79
339,315544,Kasey Palmer,Huddersfield,21,gb,6.32,175,AM(C),70
340,333255,Abdelhamid Sabiri,Huddersfield,21,ma,6.3,183,AM(L),80
341,19114,Martin Cranie,Huddersfield,31,gb,6.21,183,D(CR),78
342,138785,Joe Lolley,Huddersfield,25,gb,6.15,178,AM(LR),72
343,8176,Dean Whitehead,Huddersfield,36,gb,6.02,180,"D(R),DMC",77
344,104035,Michael Hefele,Huddersfield,27,de,5.81,192,D(C),89
345,42248,Jérémy Pied,Southampton,29,fr,7.41,173,"D(LR),M(CLR)",69
346,95408,Virgil van Dijk,Southampton,27,nl,7.1,193,D(C),92
347,136776,Matt Targett,Southampton,22,gb,6.97,183,"D(L),M(L)",70
348,123481,Mario Lemina,Southampton,24,ga,6.93,184,DMC,85
349,90780,Oriol Romeu,Southampton,26,es,6.92,183,DMC,83
350,141172,Wesley Hoedt,Southampton,24,nl,6.89,188,D(C),77
351,37204,Maya Yoshida,Southampton,29,jp,6.86,189,D(CR),78
352,92550,Jack Stephens,Southampton,24,gb,6.79,185,D(C),75
353,29474,Dusan Tadic,Southampton,29,rs,6.78,181,AM(CLR),76
