,aerials_won,age,assists,avg_rating,bad_controls,blocks,clearances,country,crosses,dispossessed,dribbled_past,dribbles,first_eleven,fouled,fouls,goals,height_cm,interceptions,key_passes,long_balls,man_of_the_match,minutes_played,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,player_name,position,red_cards,shots,substituted_on,tackles,team,through_balls,weight_kg,yellow_cards
3668,0.5,29,0,6.37,0.9,0.0,0.0,ua,0.0,1.0,0.8,0.4,6,0.5,0.6,3,189,0.4,0.5,0.2,1,563,0.0,0.0,0,76.4,10.8,33479,Artem Kravets,FW,0,1.6,7,0.4,Kayserispor,0.0,78,0
3669,1.4,24,0,6.37,0.3,0.5,2.8,ch,0.1,0.2,0.3,0.1,8,0.6,1.0,1,186,0.8,0.2,1.0,0,835,0.0,0.6,0,82.4,28.8,108496,Levent Gülen,D(CR),0,0.5,5,0.9,Kayserispor,0.0,68,1
3670,0.3,27,0,6.35,0.0,0.0,0.8,tr,0.0,0.0,0.0,0.0,4,0.3,0.0,0,190,0.0,0.3,7.3,0,360,0.0,0.0,0,41.4,32.0,243253,Muammer Yildirim,GK,0,0.0,0,0.0,Kayserispor,0.0,81,1
3671,0.0,22,0,6.31,0.5,0.0,0.5,de,0.0,2.5,2.0,0.5,1,0.5,1.0,0,172,1.0,0.5,2.0,0,100,0.0,0.0,0,69.2,19.5,323538,Erdal Öztürk,Midfielder,0,0.5,1,3.0,Kayserispor,0.0,60,0
3672,0.8,25,1,6.29,0.6,0.0,0.1,rs,0.0,0.5,0.2,0.1,0,0.2,0.5,2,182,0.0,0.2,0.0,0,184,0.2,0.0,0,57.5,3.1,303555,Nikola Stojiljkovic,FW,0,0.7,13,0.2,Kayserispor,0.0,75,0
3673,1.1,32,0,6.29,0.7,0.1,0.3,gh,0.1,0.8,0.2,0.3,3,0.4,0.8,1,180,0.0,0.4,0.4,0,416,0.3,0.0,0,77.7,8.6,10785,Asamoah Gyan,FW,0,1.1,9,0.3,Kayserispor,0.0,76,1
3674,0.8,29,0,6.26,0.4,0.0,0.3,cl,0.0,0.5,1.1,0.6,6,0.5,1.2,0,178,0.2,0.3,1.6,0,504,0.1,0.1,0,79.6,19.2,125267,Gonzalo Espinoza,DMC,0,0.6,7,1.2,Kayserispor,0.0,79,5
3675,0.0,28,0,6.16,1.0,0.0,0.4,be,0.0,0.8,0.4,0.6,1,0.6,0.8,0,176,0.2,0.2,0.0,0,119,0.0,0.0,0,70.4,5.4,33635,Geoffrey Mujangi Bia,AM(L),0,0.6,4,0.4,Kayserispor,0.0,71,0
3676,0.0,20,0,4.62,0.0,0.0,2.0,tr,0.0,0.0,0.0,0.0,1,1.0,0.0,0,0,0.0,0.0,8.0,0,90,0.0,0.0,0,70.8,24.0,327847,Vedat Karakus,Goalkeeper,0,0.0,0,0.0,Kayserispor,0.0,0,0
3677,4.3,31,3,7.05,3.6,0.0,1.1,ma,0.1,1.9,1.7,0.8,31,1.0,2.3,12,190,0.6,0.8,0.5,4,2713,0.6,0.0,0,67.4,24.8,288897,Khalid Boutaïb,FW,0,1.9,1,1.5,Yeni Malatyaspor,0.0,80,7
3678,3.2,36,0,7.0,0.3,0.9,7.7,tr,0.0,0.0,0.2,0.0,13,1.4,0.9,1,192,1.3,0.2,5.2,1,1170,0.0,0.8,0,84.2,45.8,15214,Yalcin Ayhan,D(C),0,0.4,0,0.8,Yeni Malatyaspor,0.0,82,2
3679,2.7,30,3,6.99,1.8,0.1,0.9,tr,0.1,2.4,1.1,2.0,26,3.6,2.0,4,177,0.6,0.7,1.6,2,2283,0.3,0.0,0,68.1,23.4,77827,Adem Büyük,"AM(CLR),FW",0,1.8,2,1.1,Yeni Malatyaspor,0.1,78,6
3680,3.0,25,0,6.93,0.3,0.6,6.9,tr,0.0,0.1,0.4,0.1,28,1.2,0.5,0,183,1.6,0.1,3.2,1,2501,0.0,0.6,0,82.2,34.1,343463,Sadik Ciftpinar,D(C),0,0.2,0,1.1,Yeni Malatyaspor,0.0,77,6
3681,0.9,25,5,6.92,1.4,0.1,0.8,tr,1.3,1.0,1.3,0.3,24,1.8,1.5,4,188,0.9,1.7,1.8,1,2176,0.0,0.0,0,84.3,40.7,139550,Aytac Kara,DMC,0,1.3,5,1.8,Yeni Malatyaspor,0.1,81,6
3682,1.5,28,1,6.91,1.2,0.1,2.4,ma,0.5,1.2,0.4,1.5,29,1.6,1.2,0,175,1.0,0.9,2.5,0,2514,0.0,0.1,0,75.7,28.7,236526,Issam Chebake,D(R),1,0.2,0,2.2,Yeni Malatyaspor,0.0,71,6
3683,2.9,27,1,6.91,0.9,0.4,6.1,ec,0.0,0.3,0.4,0.6,20,0.9,0.6,1,188,1.2,0.2,2.6,0,1736,0.0,0.4,0,78.4,35.1,282783,Arturo Mina,D(C),0,0.9,1,1.6,Yeni Malatyaspor,0.0,79,5
3684,1.6,30,1,6.85,1.4,0.0,0.5,fr,0.7,1.6,0.8,1.2,19,1.1,0.8,4,180,0.6,0.8,0.4,0,1636,0.1,0.0,0,77.8,22.2,86083,Michael Pereira,M(LR),0,1.3,6,1.2,Yeni Malatyaspor,0.1,73,2
3685,0.7,33,0,6.83,0.0,0.0,1.1,bj,0.0,0.0,0.0,0.0,6,0.1,0.0,0,196,0.0,0.1,8.7,0,585,0.0,0.0,0,45.9,29.3,80958,Fabien Farnolle,GK,0,0.0,1,0.0,Yeni Malatyaspor,0.0,95,0
3686,0.3,21,0,6.78,1.0,0.2,0.3,ng,0.1,1.0,1.9,1.1,26,0.9,1.4,0,170,2.4,0.6,2.4,0,2217,0.0,0.0,0,87.8,43.8,343462,Okechukwu Azubuike,DMC,0,0.6,1,2.0,Yeni Malatyaspor,0.1,70,6
