,aerials_won,assists,bad_controls,blocks,clearances,crosses,dispossessed,dribbled_past,dribbles,fouled,fouls,goals,interceptions,key_passes,long_balls,man_of_the_match,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,red_cards,shots,tackles,through_balls,yellow_cards
3582,0.24957264957264957,0.15384615384615385,0.48000000000000015,0.06250000000000001,0.060073260073260075,0.0,0.3865079365079365,0.21458333333333335,0.043192488262910805,0.22500000000000003,0.33333333333333326,0.17647058823529413,0.05317460317460318,0.11190476190476191,0.007744107744107744,0.05454545454545454,0.19420289855072467,0.0,0.0,0.7655165827718492,0.14468524251805984,134695,0.0,0.2247474747474748,0.10119047619047619,0.0696969696969697,0.05238095238095238
3583,0.030626780626780634,0.08547008547008546,0.17530864197530863,0.0,0.030525030525030528,0.026315789473684216,0.08597883597883597,0.17881944444444445,0.01643192488262911,0.06837606837606838,0.29365079365079366,0.0,0.09788359788359789,0.05291005291005291,0.01234567901234568,0.0,0.016908212560386476,0.0,0.0,0.6905422592207192,0.05779153766769864,135233,0.3055555555555555,0.036195286195286204,0.17953149001536095,0.0,0.1746031746031746
3584,0.038461538461538464,0.07326007326007325,0.36719576719576724,0.0,0.01360544217687075,0.03258145363408522,0.21995464852607707,0.14434523809523808,0.09121395036887996,0.2683150183150183,0.20068027210884357,0.0,0.05328798185941043,0.11224489795918367,0.022607022607022607,0.0,0.12422360248447205,0.0,0.0,0.8453979311149181,0.15740331220207382,135242,0.0,0.23232323232323235,0.09512837393021722,0.0,0.0
3585,0.22171945701357465,0.09049773755656108,0.265359477124183,0.04779411764705883,0.46218487394957986,0.08049535603715172,0.10924369747899158,0.25183823529411764,0.05385252692626346,0.1244343891402715,0.4663865546218487,0.0,0.8515406162464986,0.14565826330532214,0.4503862150920974,0.3850267379679144,0.03324808184143223,0.2091503267973856,0.0,0.7810471771931129,0.4816366174952953,135413,0.0,0.19607843137254904,1.0,0.06951871657754011,0.5546218487394958
3586,0.12040133779264214,0.0,0.1285024154589372,0.20108695652173914,0.2565695174390827,0.010297482837528606,0.05175983436853002,0.3885869565217391,0.028169014084507046,0.19648829431438128,0.3778467908902691,0.11508951406649616,0.2774327122153209,0.16666666666666666,0.21299956082564778,0.07114624505928853,0.026465028355387527,0.033816425120772944,0.0,0.7734657462417203,0.3160138197155293,135416,0.0,0.11923583662714098,0.41554798637547585,0.03557312252964427,0.546583850931677
3587,0.03722084367245658,0.34739454094292804,0.43010752688172044,0.0,0.021269053527118043,0.13582342954159593,0.5837173579109063,0.1814516129032258,0.4906860517946388,0.24813895781637715,0.06912442396313365,0.08538899430740038,0.06912442396313365,0.3533026113671275,0.0879765395894428,0.0,0.09817671809256663,0.0,0.0,0.8164173370779394,0.2786377708978328,135891,0.0,0.1906158357771261,0.11372082651999404,0.0,0.05069124423963134
3588,0.347985347985348,0.0,0.0873015873015873,0.2857142857142857,0.5604395604395606,0.0,0.01530612244897959,0.04910714285714286,0.02213279678068411,0.07280219780219781,0.3877551020408163,0.0,0.7244897959183674,0.01530612244897959,0.3997113997113997,0.11688311688311687,0.0,0.21428571428571425,0.0,0.8148234750590767,0.35264632168656934,136728,0.39285714285714285,0.05952380952380953,0.395901909150757,0.0,0.4489795918367347
3589,0.2692307692307693,0.0,0.34861111111111115,0.12890624999999997,0.25480769230769235,0.10361842105263158,0.2782738095238095,0.400390625,0.1716549295774648,0.3401442307692307,0.37202380952380953,0.0,0.40624999999999994,0.11160714285714285,0.1167929292929293,0.10227272727272727,0.0,0.1909722222222222,0.0,0.7039525467595187,0.2414860681114551,137120,0.0,0.08238636363636363,0.5826612903225806,0.0,0.4910714285714286
3590,0.045454545454545456,0.0,0.39090909090909093,0.0,0.023976023976023976,0.08851674641148326,0.2900432900432901,0.14346590909090906,0.12612035851472472,0.2526223776223776,0.08441558441558442,0.040106951871657755,0.05735930735930735,0.07034632034632035,0.050964187327823686,0.0,0.08695652173913045,0.0,0.0,0.7037555434644303,0.1250586358945492,139553,0.0,0.0544077134986226,0.18516966904063675,0.0,0.0
3591,0.05470085470085471,0.10256410256410256,0.6585185185185184,0.0,0.01098901098901099,0.07192982456140352,0.4380952380952381,0.13645833333333335,0.18920187793427234,0.32435897435897443,0.16428571428571428,0.17647058823529413,0.1,0.17936507936507937,0.032996632996633,0.10909090909090909,0.08260869565217392,0.0,0.0,0.7175440909647149,0.12841417268661848,139586,0.0,0.20202020202020202,0.13709677419354838,0.0,0.05238095238095238
